"x","y","z","h"
"0123","0123","0123","1*v^0"
"0123","0132","0132","1*v^0"
"0123","0213","0213","1*v^0"
"0123","0231","0231","1*v^0"
"0123","0312","0312","1*v^0"
"0123","0321","0321","1*v^0"
"0123","1023","1023","1*v^0"
"0123","1032","1032","1*v^0"
"0123","1203","1203","1*v^0"
"0123","1230","1230","1*v^0"
"0123","1302","1302","1*v^0"
"0123","1320","1320","1*v^0"
"0123","2013","2013","1*v^0"
"0123","2031","2031","1*v^0"
"0123","2103","2103","1*v^0"
"0123","2130","2130","1*v^0"
"0123","2301","2301","1*v^0"
"0123","2310","2310","1*v^0"
"0123","3012","3012","1*v^0"
"0123","3021","3021","1*v^0"
"0123","3102","3102","1*v^0"
"0123","3120","3120","1*v^0"
"0123","3201","3201","1*v^0"
"0123","3210","3210","1*v^0"
"0132","0123","0132","1*v^0"
"0132","0132","0132","1*v^-1 + 1*v^1"
"0132","0213","0231","1*v^0"
"0132","0231","0231","1*v^-1 + 1*v^1"
"0132","0312","0132","1*v^0"
"0132","0312","0321","1*v^0"
"0132","0321","0321","1*v^-1 + 1*v^1"
"0132","1023","1032","1*v^0"
"0132","1032","1032","1*v^-1 + 1*v^1"
"0132","1203","1230","1*v^0"
"0132","1230","1230","1*v^-1 + 1*v^1"
"0132","1302","1032","1*v^0"
"0132","1302","1320","1*v^0"
"0132","1320","1320","1*v^-1 + 1*v^1"
"0132","2013","2031","1*v^0"
"0132","2031","2031","1*v^-1 + 1*v^1"
"0132","2103","2130","1*v^0"
"0132","2130","2130","1*v^-1 + 1*v^1"
"0132","2301","0132","-1*v^2"
"0132","2301","0321","1*v^0"
"0132","2301","2031","1*v^0"
"0132","2301","2310","1*v^0"
"0132","2310","2310","1*v^-1 + 1*v^1"
"0132","3012","1032","1*v^0"
"0132","3012","3021","1*v^0"
"0132","3021","3021","1*v^-1 + 1*v^1"
"0132","3102","0123","-1*v^3"
"0132","3102","0132","1*v^2"
"0132","3102","1023","1*v^2"
"0132","3102","3120","1*v^0"
"0132","3120","0123","-1*v^2 + -1*v^4"
"0132","3120","0132","1*v^3"
"0132","3120","1023","1*v^1 + 1*v^3"
"0132","3120","1032","-1*v^2"
"0132","3120","3120","1*v^-1 + 1*v^1"
"0132","3201","3021","1*v^0"
"0132","3201","3210","1*v^0"
"0132","3210","3210","1*v^-1 + 1*v^1"
"0213","0123","0213","1*v^0"
"0213","0132","0312","1*v^0"
"0213","0213","0213","1*v^-1 + 1*v^1"
"0213","0231","0213","1*v^0"
"0213","0231","0321","1*v^0"
"0213","0312","0312","1*v^-1 + 1*v^1"
"0213","0321","0321","1*v^-1 + 1*v^1"
"0213","1023","1203","1*v^0"
"0213","1032","1302","1*v^0"
"0213","1203","1203","1*v^-1 + 1*v^1"
"0213","1230","1203","1*v^0"
"0213","1230","1320","1*v^0"
"0213","1302","1302","1*v^-1 + 1*v^1"
"0213","1320","1320","1*v^-1 + 1*v^1"
"0213","2013","0213","1*v^0"
"0213","2013","2103","1*v^0"
"0213","2031","0123","1*v^2"
"0213","2031","2301","1*v^0"
"0213","2103","2103","1*v^-1 + 1*v^1"
"0213","2130","2103","1*v^0"
"0213","2130","2310","1*v^0"
"0213","2301","0123","1*v^1 + 1*v^3"
"0213","2301","0213","-1*v^2"
"0213","2301","2301","1*v^-1 + 1*v^1"
"0213","2310","2310","1*v^-1 + 1*v^1"
"0213","3012","0312","1*v^0"
"0213","3012","3102","1*v^0"
"0213","3021","0321","1*v^0"
"0213","3021","3201","1*v^0"
"0213","3102","3102","1*v^-1 + 1*v^1"
"0213","3120","0213","1*v^3"
"0213","3120","0312","-1*v^2"
"0213","3120","1203","-1*v^2"
"0213","3120","1320","1*v^0"
"0213","3120","3102","1*v^0"
"0213","3120","3210","1*v^0"
"0213","3201","3201","1*v^-1 + 1*v^1"
"0213","3210","3210","1*v^-1 + 1*v^1"
"0231","0123","0312","1*v^0"
"0231","0132","0312","1*v^-1 + 1*v^1"
"0231","0213","0213","1*v^0"
"0231","0213","0321","1*v^0"
"0231","0231","0213","1*v^-1 + 1*v^1"
"0231","0231","0321","1*v^-1 + 1*v^1"
"0231","0312","0312","1*v^0"
"0231","0312","0321","1*v^-1 + 1*v^1"
"0231","0321","0321","1*v^-2 + 2*v^0 + 1*v^2"
"0231","1023","1302","1*v^0"
"0231","1032","1302","1*v^-1 + 1*v^1"
"0231","1203","1203","1*v^0"
"0231","1203","1320","1*v^0"
"0231","1230","1203","1*v^-1 + 1*v^1"
"0231","1230","1320","1*v^-1 + 1*v^1"
"0231","1302","1302","1*v^0"
"0231","1302","1320","1*v^-1 + 1*v^1"
"0231","1320","1320","1*v^-2 + 2*v^0 + 1*v^2"
"0231","2013","0123","1*v^2"
"0231","2013","2301","1*v^0"
"0231","2031","0123","1*v^1 + 1*v^3"
"0231","2031","2301","1*v^-1 + 1*v^1"
"0231","2103","2103","1*v^0"
"0231","2103","2310","1*v^0"
"0231","2130","2103","1*v^-1 + 1*v^1"
"0231","2130","2310","1*v^-1 + 1*v^1"
"0231","2301","0123","1*v^2"
"0231","2301","0312","-1*v^2"
"0231","2301","0321","1*v^-1 + 1*v^1"
"0231","2301","2301","1*v^0"
"0231","2301","2310","1*v^-1 + 1*v^1"
"0231","2310","2310","1*v^-2 + 2*v^0 + 1*v^2"
"0231","3012","0321","1*v^0"
"0231","3012","1302","1*v^0"
"0231","3012","3201","1*v^0"
"0231","3021","0321","1*v^-1 + 1*v^1"
"0231","3021","3201","1*v^-1 + 1*v^1"
"0231","3102","1320","1*v^0"
"0231","3102","3102","1*v^0"
"0231","3102","3210","1*v^0"
"0231","3120","0312","-1*v^1"
"0231","3120","1302","-1*v^2"
"0231","3120","1320","1*v^-1 + 1*v^1"
"0231","3120","3102","1*v^-1 + 1*v^1"
"0231","3120","3210","1*v^-1 + 1*v^1"
"0231","3201","0321","1*v^0"
"0231","3201","3201","1*v^0"
"0231","3201","3210","1*v^-1 + 1*v^1"
"0231","3210","3210","1*v^-2 + 2*v^0 + 1*v^2"
"0312","0123","0231","1*v^0"
"0312","0132","0132","1*v^0"
"0312","0132","0321","1*v^0"
"0312","0213","0231","1*v^-1 + 1*v^1"
"0312","0231","0231","1*v^0"
"0312","0231","0321","1*v^-1 + 1*v^1"
"0312","0312","0132","1*v^-1 + 1*v^1"
"0312","0312","0321","1*v^-1 + 1*v^1"
"0312","0321","0321","1*v^-2 + 2*v^0 + 1*v^2"
"0312","1023","1230","1*v^0"
"0312","1032","1032","1*v^0"
"0312","1032","1320","1*v^0"
"0312","1203","1230","1*v^-1 + 1*v^1"
"0312","1230","1230","1*v^0"
"0312","1230","1320","1*v^-1 + 1*v^1"
"0312","1302","1032","1*v^-1 + 1*v^1"
"0312","1302","1320","1*v^-1 + 1*v^1"
